on	man
homme (m)	Mensch; Mann
à raison de	à, je, zu
grand	groß
connaître	kennen
quoi	was
afin de pour, afin que, pour que	damit, dass
un	ein gewisser, einer, irgend einer, irgendwer, jemand; ein, eine, eins
quel	der, die, das; welcher, welche, welches; was für ein, welch; wer
quelle, qui	der, die, das; welcher, welche, welches; wer
savoir	wissen
l'enfant (m)	Kind
trois	drei
une	ein, eine, eins
prendre	fassen, nehmen
être obligé	müssen, sollen
cinq	fünf
le néant	nichts
que	dass; als
naviguer, aller en véhicule	fahren
quatre	vier
pour, afin de	für, um, um zu
et	und
petit	gering, klein
venir	kommen
être	sein
personne	keiner, keine, keines; niemand
où	wo; wohin
deux	zwei
six	sechs
y	darüber; da, dort
journée, jour	Tag
non	kein, nicht
vu que, parce que, car, attendu que, puisque	da, weil; denn
se terminer, prendre fin	enden, endigen
la graisse	Fett
brun	braun; schwarz
le peuple	Volk
léger	leicht
la Chinoise	Chinesin
tenir	halten, aufhalten
manger, déjeuner	essen, fressen, genießen, speisen
le wagon	Bahnwagen, Wagen, Waggon
s'appeler	heißen
la guerre	Krieg
c'est-à-dire, soit	das heißt, das ist
le film	Film
le thé	Tee
l'estomac (m)	Magen
totalement	ganz, gänzlich, gar
pouvoir	dürfen, können, vermögen
le décembre	Dezember
le Rhin	Rhein
quotidien, journalier	täglich
l'Amérique du Sud (f)	Südamerika
le pays	Land
c'est pourquoi	also, daher, darum, deshalb
fou	irre, toll, verrückt, wahnsinnig
à peine, ne ... guère	kaum
le chat	Katze
le lapin	Kaninchen
l'usine (f)	Fabrik
la laine	Wolle
l'Angleterre (f)	England
l'examen (m)	Examen
la colère	Ärger, Groll, Zorn
le caractère	Charakter, Gemüt
après	hinter, nach; dann, darauf, hinterher, nachher, später; danach
embaucher	anwerben, heuern, mieten
la gazette	Zeitung
le mai	Mai
le trou	Loch
l'épingle (f)	Stecknadel
déjà	bereits, schon
le mois	Monat
content, satisfait	zufrieden
rêver	träumen
la joie, allégresse	Freude
la chose	Angelegenheit, Ding, Sache, Werk; Gegenstand, Objekt
intéressant	interessant; kurios, merkwürdig, seltsam
le fonctionnaire	Beamter
d'après	gemäß, nach
l'autrui (m)	ein anderer
vouloir	wollen
dangereux	besorglich, gefährlich
la phrase	Phrase, Redensart, Satz
mariée, marié	verheiratet
le chèque	Bankanweisung, Scheck
le bulletin	Bericht
probable, vraisemblable	wahrscheinlich
faible	flau, gelinde, schwach
le métier	Beruf, Gewerbe, Handwerk
le fleuve	Strom; Fluss
dérober	entwenden, stehlen
le jambon	Schinken
l'université (f)	Hochschule, Universität
l'Américain (m)	Amerikaner
davantage	mehr
le cheval	Gaul, Pferd
bonne nuit	Gute Nacht
dehors	äußerlich, draußen
possible	möglich
commencer	anfangen, beginnen; anbrechen
