一	one	eins
二 一 一	two	zwei
三 一 一 一	three	drei
四 囗 儿➞八	four	vier
五 二	five	fünf
六 亠 八	six	sechs
七 一 乚➞乙	seven	sieben
八	eight	acht
九 丿 乙	nine	neun
十	ten	zehn
口	mouth	Mund
日	day	Tag
月	month	Monat
田	rice field	Reisfeld
目	eye	Auge
古 十 口	old	alt
吾 五 口	I	ich
朋 月 月	companion	Gefährte
明 ⽇➞日 月	bright	hell
晶 日 日 日	sparkle	Kristall
品 口 口 口	goods	Waren
呂 口 丿 口	spine	Rückgrat
冒 日➞冃✽ 目	risk	riskieren
昌 日 日	prosperous	gedeihen
唱 ⼝➞口 昌✽	chant	Gesang
叱 口 七✽	scold	schimpfen
早 日 十	early	früh
旭 九 日	rising sun	aufgehende Sonne
世 廿	generation	Generation
胃 田 月➞肉	stomach	Magen
旦 日 一	nightbreak	Morgendämmerung
胆 月➞肉 旦✽ 膽❄	gall bladder	Gallenblase
亘 二 旦 亙❄	span	Spanne
凹 凵	concave	konkav
凸 凵	convex	konvex
旧 丨 日 臼✽ 舊❄	olden times	alte Zeiten
自 目	oneself	selbst
白 日	white	weiß
百 一 白	hundred	hundert
中 口 丨	in	in
千 丿 十	thousand	tausend
舌 口	tongue	Zunge
升 丿 廾	measuring box	Messkästchen
昇 日 升✽	rise up	aufsteigen
丸 九 丶	round	rund
寸	measurement	Längenmaß
肘 月➞肉 寸	elbow	Ellenbogen
専 一 申 寸 專❄	specialty	Spezialgebiet
博 十 尃✽	Dr.	Dr.
占 卜 口	fortune-telling	wahrsagen
上 卜 一	above	auf
下 一 卜	below	unter
卓 卜 早	eminent	hervorragend
朝 𠦝 月➞舟✽ 倝	morning	Morgen
嘲 ⼝➞口 朝✽	derision	Hohn
貝 目 八	shellfish	Muschel
唄 ⼝➞口 貝✽	pop song	Schlager
貞 卜 貝 鼎✽	upright	keusch
員 口 貝	employee	Mitglied
貼 ⾙➞貝 占✽	affix	aufkleben
見 目 儿➞八	see	sehen
児 旧 儿➞八  兒❄	newborn babe	Säugling
元 二 儿➞八 原	beginning	Anfang
頁 貝	page	Buchseite
頑 元✽ 頁	stubborn	hartnäckig
凡 几 丶	mediocre	mittelmäßig
負 𠂊➞勹 貝	defeat	unterliegen
