一	eins
丨	Vertikalstrich
丶	Tropfstrich
丿乀乁	Schrägstrich
乙乚乛	gerundeter Vertikalstrich, Haken, der/die/das zweite
亅	Vertikalstrich mit Haken
二	zwei
亠	Deckel (Kopf)
人	Mensch, jeder, jemand, alle, Persönlichkeit, Charakter
儿	Beine, Kind, Jugendlicher, Sohn
入	eintreten, betreten, Einkommen, übereinstimmen mit
八	acht
冂	umfassen, Wildnis, freies/offenes Land
冖	bedecken
冫	Eis
几	Tischchen
凵	Behälter, geöffneter Mund
刀刁刂	Messer, Schwert, Hiebwaffe, Säbel
力	Kraft, Stärke, Fähigkeit
勹	einwickeln, umarmen
匕	Löffel
匚	Kasten
匸	verstecken, runde Schachtel
十	zehn, völlig, vollständig
卜	(Chinesisches) Orakel
卩	Siegel
厂	Abhang
厶	privat
又	wieder, noch, Hand
口	Mund, Öffnung, Eingang, Mündung
囗	Begrenzung, Umzäunung
土	Erde, Boden, Land, unkultiviert
士	Gelehrter, Intellektueller, Junggeselle, Soldat
夂	schlendern, Winter
夊	überholen
夕外多夜	Abend, Sonnenuntergang
大夨	groß, riesig, gewaltig, Alter, sehr
女	Frau, weiblich
子孑孒孓	Kind, Meister, Samen
宀	Dach
寸	Daumen, Zoll
小	klein, geringfügig, unbedeutend, jung
尢尣	lahm, gebrochenes Bein
尸	Leichnam, Leiche
屮	Spross, Keim
山	Berg, Gebirge
巛巜川	Strom, Fluss
工	Arbeit
己已巳	selbst, persönlich, eigen
巾	Tuch, Schal
干	trocken, Schild (Waffe)
幺	jung, gering, klein
广	Schrägdach
廴	bewegen, marschieren
廾	gefaltete Hände, zwanzig
弋	Jagdpfeil, Wurfspieß, Haken
弓	Bogen (Waffe oder Musik)
彐ヨ彑	Schweinskopf, Schweinerüssel
彡	Bart, Haare
彳	Schritt, Spazieren gehen
心	Herz, Gefühl
戈	Speer, Hellebarde, Hiebaxt
戸戶户	Waffe, Tür, Haus, Familie
手	Hand, in der Hand halten
支	Zweig, stützen, aufrichten, Abzweigung
攴攵	schlagen, Peitsche
文	Kultur, Schrift(zeichen), Sprache
斗	Scheffel, Dou (Hohlmaß)
斤	Axt, Pfund
方	Himmelsrichtung, Viereck
无旡	nicht, keiner, ohne
日	Sonne, Tag
曰	sagen, sprechen
月	Mond, Monat
木朩	Baum, Holz
欠	mangeln, gähnen
止	anhalten, aufhören, stoppen
歹歺	zersetzen, schlecht
殳	Hellebarde, Lanze
毋	Mutter, nicht
比	vergleichen, sich messen mit
毛	Haar, Borste
氏	Familie, Sippe
气	Atem, Luft, Gas, Dampf
水	Wasser, Gewässer
火	Feuer
爪	Klaue, Kralle
父	Vater
爻	mischen, durchkreuzen, knüpfen
爿	gespaltenes Holz (steht immer links)
片	gespaltenes Holz, Scheibe (immer links)
牙	Eckzahn
牛	Rind; 2. Erdzweig 
犬	Hund
玄	dunkel
玉玊王	Jade (König)
瓜	Melone, Kürbis, Gurke
瓦	Ziegel
甘	süß, wohlschmeckend
生	geboren werden, leben, erzeugen
用甩	gebrauchen, benutzen, nötig haben
田由甲申甴电	Reisfeld
疋	Rolle Kleiderstoff, Stoffballen
疒	Krankheit
癶	gespreizte Beine, zwei Hände oberhalb
白	weiß
皮	Haut, Schale, Pelz
皿	Schüssel, Teller
目	Auge
矛	Hellebarde, Speer, Lanze
矢	Pfeil
石	Stein
示	zeigen, Vorfahren, verehren
禸	Fußstapfen, Spur
禾	Getreide
穴	Höhle
立	stehen, aufrichten
竹	Bambus
米	Reis
糸糹	Seide
缶	Krug, Amphore
网罒罓⺳	Netz
羊	Schaf, Ziege; 8. Erdzweig 
羽	Vogelfeder
老耂考	alt
而	und dabei, und, aber
耒	Pflug, Egge
耳	Ohr
聿	Schreibpinsel
肉	Fleisch
臣	Diener, Minister, Untertan, Beamter
自	selbst
至	ankommen, erreichen
臼	Mörser
舌	Zunge
舛	gegensätzlich, irren, nebeneinander liegen
舟	Schiff, Boot, Kahn
艮	Grenze
色	Farbe, weibliche Schönheit
艸	Gras 
虍	Tiger
虫	Wurm, Insekt
血	Blut
行	gehen, machen, tun
衣	Kleidung
襾西覀	bedecken, Westen
見	sehen
角	Horn, Ecke
言	sprechen, Wort
谷	Tal, Schlucht, Getreide
豆	Bohne
豕	Schwein
豸	Reptil, Katze, kleines haariges Tier
貝	Muschel- oder Schneckengeld, Kauri(schnecken)
赤	zinnoberrot, nackt
走赱	laufen, fortgehen
足	Fuß
身	Körper, Rumpf
車	Wagen, Rad, Fahrzeug
辛	bitter, scharf, beißend, hart, mühsam
辰	7-9 Uhr vormittags, Morgen, 5. Erdzweig
辵辷辶⻌⻍	vorwärts gehen
邑	Gemeinde, Dorf
酉	Weinkrug, Alkohol
釆	trennen, unterscheiden, auswählen
里	Meile, Dorf, Maßeinheit 0,5 km
金釒	Metall, Gold
長镸	lang, älter, wachsen
門	Tor, Tür
阜	Hügel, Damm
隶	fangen, untergeordnet sein
隹	kleiner/alter Vogel
雨	Regen
青靑	blaugrün, jung
非	falsch, nicht, Fehler
面靣	Gesicht
革	ungegerbtes Leder, Haut, verändern
韋	gegerbtes Leder
韭	Lauch
音	Laut, Ton
頁	Kopf
